pollster	date	AP	H	FrP	SV	SP	KrF	V	MDG	R	Other
Norstat/VL	29.09.2021	27,3 (51)	20,8 (36)	11,2 (20)	8,7 (15)	12,8 (22)	3,5 (3)	4,3 (7)	4,4 (8)	4,0 (7)	3,2 (0)
Sentio/NA / Amedia	24.09.2021	28,2 (55)	20,0 (35)	11,2 (19)	7,5 (13)	12,0 (21)	3,1 (1)	4,1 (7)	5,5 (9)	5,4 (9)	2,9 (0)
Verian/TV2	11.09.2021	24,6 (46)	19,0 (33)	12,3 (21)	8,7 (15)	12,7 (25)	3,8 (3)	4,5 (7)	5,1 (8)	5,7 (10)	3,6 (1)
Norfakta/Nat. / KK	11.09.2021	24,0 (44)	19,1 (34)	11,8 (22)	8,2 (15)	14,8 (28)	3,6 (3)	3,8 (2)	5,9 (11)	5,4 (10)	3,5 (0)
Opinion/DA / FF / ANB	10.09.2021	26,9 (49)	18,9 (34)	11,9 (20)	7,7 (13)	14,8 (27)	3,3 (2)	4,5 (8)	4,8 (8)	4,6 (8)	2,5 (0)
Verian/TV2	10.09.2021	24,5 (46)	19,4 (35)	11,3 (17)	9,1 (14)	13,2 (26)	4,2 (6)	4,4 (7)	4,9 (8)	5,9 (9)	3,3 (1)
Ipsos/Dagbladet	09.09.2021	22,9 (43)	17,0 (30)	11,8 (20)	11,8 (20)	12,2 (21)	4,2 (7)	6,1 (11)	4,3 (7)	6,0 (10)	3,7 (0)
Verian/TV2	09.09.2021	23,9 (44)	19,1 (34)	10,9 (17)	9,2 (14)	12,7 (26)	4,9 (8)	4,8 (8)	4,7 (7)	6,7 (10)	3,3 (1)
Norstat/NRK	09.09.2021	24,7 (47)	20,4 (34)	12,0 (21)	8,9 (14)	11,9 (23)	4,2 (6)	4,9 (8)	4,9 (8)	4,9 (8)	3,1 (0)
Norstat/DN	09.09.2021	24,6 (45)	18,8 (34)	11,9 (22)	9,0 (16)	11,6 (21)	3,9 (3)	5,8 (11)	4,9 (9)	4,6 (8)	4,9 (0)
Respons/BT / VG	09.09.2021	26,6 (49)	18,0 (32)	12,4 (22)	9,4 (17)	11,1 (20)	4,5 (8)	3,9 (2)	4,2 (8)	6,0 (11)	3,9 (0)
Verian/TV2	08.09.2021	23,7 (43)	19,1 (34)	11,2 (18)	9,3 (15)	13,4 (26)	4,5 (7)	4,6 (7)	4,7 (8)	6,4 (11)	3,1 (0)
Verian/TV2	07.09.2021	23,8 (45)	18,6 (32)	11,1 (18)	8,9 (14)	13,8 (27)	4,3 (7)	4,8 (8)	5,0 (8)	6,2 (10)	3,7 (0)
Norstat/NRK / Aftenp	07.09.2021	23,9 (44)	18,5 (34)	12,4 (23)	8,6 (16)	14,3 (28)	3,4 (2)	3,6 (2)	5,4 (10)	5,2 (10)	4,7 (0)
Verian/TV2	06.09.2021	23,3 (43)	19,4 (36)	10,9 (17)	9,5 (15)	14,0 (27)	4,1 (7)	4,7 (7)	4,7 (8)	5,6 (9)	3,8 (0)
Verian/TV2	05.09.2021	23,4 (43)	20,5 (37)	10,0 (18)	9,4 (16)	14,0 (27)	3,6 (3)	4,6 (8)	4,3 (8)	5,4 (9)	4,9 (0)
Respons/BT / VG	02.09.2021	23,2 (42)	20,1 (36)	11,5 (20)	10,4 (19)	12,6 (22)	3,6 (3)	5,5 (10)	4,9 (9)	4,6 (8)	3,6 (0)
Verian/TV2	02.09.2021	23,2 (43)	21,2 (38)	9,0 (16)	9,5 (16)	12,4 (23)	4,3 (7)	4,8 (8)	5,0 (9)	5,1 (9)	5,4 (0)
Norstat/Aftenp.	01.09.2021	23,1 (43)	19,6 (36)	11,3 (19)	10,6 (18)	12,2 (21)	4,7 (8)	4,5 (8)	4,8 (8)	5,0 (8)	3,9 (0)
Norstat/VL	01.09.2021	23,7 (42)	19,0 (35)	11,5 (20)	10,0 (18)	12,6 (22)	3,7 (3)	4,9 (9)	5,8 (10)	5,4 (10)	3,4 (0)
Verian/TV2	01.09.2021	23,4 (44)	21,5 (40)	10,7 (18)	9,7 (16)	11,0 (19)	4,1 (7)	4,8 (8)	5,0 (9)	4,9 (8)	4,9 (0)
Verian/TV2	29.08.2021	22,6 (42)	19,2 (35)	11,8 (20)	10,2 (18)	11,5 (22)	3,8 (3)	4,4 (8)	5,0 (9)	7,2 (12)	4,3 (0)
Ipsos/Dagbladet	27.08.2021	23,6 (44)	20,0 (37)	12,5 (23)	9,7 (18)	12,5 (23)	2,6 (1)	3,4 (2)	6,3 (12)	4,6 (9)	4,7 (0)
Norstat/DN	26.08.2021	26,2 (49)	20,0 (36)	11,3 (20)	8,0 (14)	12,0 (21)	3,3 (2)	4,9 (9)	5,7 (10)	4,9 (8)	3,8 (0)
Respons/BT / VG	26.08.2021	26,6 (50)	21,1 (37)	9,4 (16)	6,7 (11)	11,9 (21)	4,4 (7)	4,5 (7)	6,7 (11)	5,3 (9)	3,4 (0)
Verian/TV2	25.08.2021	22,4 (42)	20,5 (38)	10,7 (19)	9,9 (18)	11,2 (20)	3,7 (3)	4,8 (9)	5,3 (9)	6,3 (11)	5,2 (0)
Sentio/Nettavisen	24.08.2021	23,9 (45)	19,1 (36)	9,8 (18)	8,8 (16)	13,2 (25)	3,9 (3)	3,8 (2)	7,2 (14)	5,4 (10)	4,9 (0)
